panel_code,sigungu_name,full_name
11110,종로구,서울특별시 종로구
11140,중구,서울특별시 중구
11170,용산구,서울특별시 용산구
11200,성동구,서울특별시 성동구
11215,광진구,서울특별시 광진구
11230,동대문구,서울특별시 동대문구
11260,중랑구,서울특별시 중랑구
11290,성북구,서울특별시 성북구
11305,강북구,서울특별시 강북구
11320,도봉구,서울특별시 도봉구
11350,노원구,서울특별시 노원구
11380,은평구,서울특별시 은평구
11410,서대문구,서울특별시 서대문구
11440,마포구,서울특별시 마포구
11470,양천구,서울특별시 양천구
11500,강서구,서울특별시 강서구
11530,구로구,서울특별시 구로구
11545,금천구,서울특별시 금천구
11560,영등포구,서울특별시 영등포구
11590,동작구,서울특별시 동작구
11620,관악구,서울특별시 관악구
11650,서초구,서울특별시 서초구
11680,강남구,서울특별시 강남구
11710,송파구,서울특별시 송파구
11740,강동구,서울특별시 강동구
26110,중구,부산광역시 중구
26140,서구,부산광역시 서구
26170,동구,부산광역시 동구
26200,영도구,부산광역시 영도구
26230,부산진구,부산광역시 부산진구
26260,동래구,부산광역시 동래구
26290,남구,부산광역시 남구
26320,북구,부산광역시 북구
26350,해운대구,부산광역시 해운대구
26380,사하구,부산광역시 사하구
26410,금정구,부산광역시 금정구
26440,강서구,부산광역시 강서구
26470,연제구,부산광역시 연제구
26500,수영구,부산광역시 수영구
26530,사상구,부산광역시 사상구
26710,기장군,부산광역시 기장군
27110,중구,대구광역시 중구
27140,동구,대구광역시 동구
27170,서구,대구광역시 서구
27200,남구,대구광역시 남구
27230,북구,대구광역시 북구
27260,수성구,대구광역시 수성구
27290,달서구,대구광역시 달서구
27710,달성군,대구광역시 달성군
27720,군위군,대구광역시 군위군
28110,중구,인천광역시 중구
28140,동구,인천광역시 동구
28177,미추홀구,인천광역시 미추홀구
28185,연수구,인천광역시 연수구
28200,남동구,인천광역시 남동구
28237,부평구,인천광역시 부평구
28245,계양구,인천광역시 계양구
28260,서구,인천광역시 서구
28710,강화군,인천광역시 강화군
28720,옹진군,인천광역시 옹진군
29110,동구,광주광역시 동구
29140,서구,광주광역시 서구
29155,남구,광주광역시 남구
29170,북구,광주광역시 북구
29200,광산구,광주광역시 광산구
30110,동구,대전광역시 동구
30140,중구,대전광역시 중구
30170,서구,대전광역시 서구
30200,유성구,대전광역시 유성구
30230,대덕구,대전광역시 대덕구
31110,중구,울산광역시 중구
31140,남구,울산광역시 남구
31170,동구,울산광역시 동구
31200,북구,울산광역시 북구
31710,울주군,울산광역시 울주군
36110,세종특별자치시,세종특별자치시
41110,수원시,경기도 수원시
41130,성남시,경기도 성남시
41150,의정부시,경기도 의정부시
41170,안양시,경기도 안양시
41190,부천시,경기도 부천시
41210,광명시,경기도 광명시
41220,평택시,경기도 평택시
41250,동두천시,경기도 동두천시
41270,안산시,경기도 안산시
41280,고양시,경기도 고양시
41290,과천시,경기도 과천시
41310,구리시,경기도 구리시
41360,남양주시,경기도 남양주시
41370,오산시,경기도 오산시
41390,시흥시,경기도 시흥시
41410,군포시,경기도 군포시
41430,의왕시,경기도 의왕시
41450,하남시,경기도 하남시
41460,용인시,경기도 용인시
41480,파주시,경기도 파주시
41500,이천시,경기도 이천시
41550,안성시,경기도 안성시
41570,김포시,경기도 김포시
41590,화성시,경기도 화성시
41610,광주시,경기도 광주시
41630,양주시,경기도 양주시
41650,포천시,경기도 포천시
41670,여주시,경기도 여주시
41800,연천군,경기도 연천군
41820,가평군,경기도 가평군
41830,양평군,경기도 양평군
43110,청주시,충청북도 청주시
43130,충주시,충청북도 충주시
43150,제천시,충청북도 제천시
43720,보은군,충청북도 보은군
43730,옥천군,충청북도 옥천군
43740,영동군,충청북도 영동군
43745,증평군,충청북도 증평군
43750,진천군,충청북도 진천군
43760,괴산군,충청북도 괴산군
43770,음성군,충청북도 음성군
43800,단양군,충청북도 단양군
44130,천안시,충청남도 천안시
44150,공주시,충청남도 공주시
44180,보령시,충청남도 보령시
44200,아산시,충청남도 아산시
44210,서산시,충청남도 서산시
44230,논산시,충청남도 논산시
44250,계룡시,충청남도 계룡시
44270,당진시,충청남도 당진시
44710,금산군,충청남도 금산군
44760,부여군,충청남도 부여군
44770,서천군,충청남도 서천군
44790,청양군,충청남도 청양군
44800,홍성군,충청남도 홍성군
44810,예산군,충청남도 예산군
44825,태안군,충청남도 태안군
46110,목포시,전라남도 목포시
46130,여수시,전라남도 여수시
46150,순천시,전라남도 순천시
46170,나주시,전라남도 나주시
46230,광양시,전라남도 광양시
46710,담양군,전라남도 담양군
46720,곡성군,전라남도 곡성군
46730,구례군,전라남도 구례군
46770,고흥군,전라남도 고흥군
46780,보성군,전라남도 보성군
46790,화순군,전라남도 화순군
46800,장흥군,전라남도 장흥군
46810,강진군,전라남도 강진군
46820,해남군,전라남도 해남군
46830,영암군,전라남도 영암군
46840,무안군,전라남도 무안군
46860,함평군,전라남도 함평군
46870,영광군,전라남도 영광군
46880,장성군,전라남도 장성군
46890,완도군,전라남도 완도군
46900,진도군,전라남도 진도군
46910,신안군,전라남도 신안군
47110,포항시,경상북도 포항시
47130,경주시,경상북도 경주시
47150,김천시,경상북도 김천시
47170,안동시,경상북도 안동시
47190,구미시,경상북도 구미시
47210,영주시,경상북도 영주시
47230,영천시,경상북도 영천시
47250,상주시,경상북도 상주시
47280,문경시,경상북도 문경시
47290,경산시,경상북도 경산시
47730,의성군,경상북도 의성군
47750,청송군,경상북도 청송군
47760,영양군,경상북도 영양군
47770,영덕군,경상북도 영덕군
47820,청도군,경상북도 청도군
47830,고령군,경상북도 고령군
47840,성주군,경상북도 성주군
47850,칠곡군,경상북도 칠곡군
47900,예천군,경상북도 예천군
47920,봉화군,경상북도 봉화군
47930,울진군,경상북도 울진군
47940,울릉군,경상북도 울릉군
48110,창원시,경상남도 창원시
48170,진주시,경상남도 진주시
48220,통영시,경상남도 통영시
48240,사천시,경상남도 사천시
48250,김해시,경상남도 김해시
48270,밀양시,경상남도 밀양시
48310,거제시,경상남도 거제시
48330,양산시,경상남도 양산시
48720,의령군,경상남도 의령군
48730,함안군,경상남도 함안군
48740,창녕군,경상남도 창녕군
48820,고성군,경상남도 고성군
48840,남해군,경상남도 남해군
48850,하동군,경상남도 하동군
48860,산청군,경상남도 산청군
48870,함양군,경상남도 함양군
48880,거창군,경상남도 거창군
48890,합천군,경상남도 합천군
50110,제주시,제주특별자치도 제주시
50130,서귀포시,제주특별자치도 서귀포시
51110,춘천시,강원특별자치도 춘천시
51130,원주시,강원특별자치도 원주시
51150,강릉시,강원특별자치도 강릉시
51170,동해시,강원특별자치도 동해시
51190,태백시,강원특별자치도 태백시
51210,속초시,강원특별자치도 속초시
51230,삼척시,강원특별자치도 삼척시
51720,홍천군,강원특별자치도 홍천군
51730,횡성군,강원특별자치도 횡성군
51750,영월군,강원특별자치도 영월군
51760,평창군,강원특별자치도 평창군
51770,정선군,강원특별자치도 정선군
51780,철원군,강원특별자치도 철원군
51790,화천군,강원특별자치도 화천군
51800,양구군,강원특별자치도 양구군
51810,인제군,강원특별자치도 인제군
51820,고성군,강원특별자치도 고성군
51830,양양군,강원특별자치도 양양군
52110,전주시,전북특별자치도 전주시
52130,군산시,전북특별자치도 군산시
52140,익산시,전북특별자치도 익산시
52180,정읍시,전북특별자치도 정읍시
52190,남원시,전북특별자치도 남원시
52210,김제시,전북특별자치도 김제시
52710,완주군,전북특별자치도 완주군
52720,진안군,전북특별자치도 진안군
52730,무주군,전북특별자치도 무주군
52740,장수군,전북특별자치도 장수군
52750,임실군,전북특별자치도 임실군
52770,순창군,전북특별자치도 순창군
52790,고창군,전북특별자치도 고창군
52800,부안군,전북특별자치도 부안군
