w_index,panel_code,panel_name,n_neighbors
0,11110,종로구,7
1,11140,중구,6
2,11170,용산구,7
3,11200,성동구,6
4,11215,광진구,7
5,11230,동대문구,6
6,11260,중랑구,5
7,11290,성북구,6
8,11305,강북구,5
9,11320,도봉구,4
10,11350,노원구,7
11,11380,은평구,4
12,11410,서대문구,4
13,11440,마포구,7
14,11470,양천구,4
15,11500,강서구,7
16,11530,구로구,7
17,11545,금천구,4
18,11560,영등포구,7
19,11590,동작구,5
20,11620,관악구,7
21,11650,서초구,6
22,11680,강남구,6
23,11710,송파구,5
24,11740,강동구,5
25,26110,중구,3
26,26140,서구,5
27,26170,동구,4
28,26200,영도구,1
29,26230,부산진구,7
30,26260,동래구,6
31,26290,남구,4
32,26320,북구,7
33,26350,해운대구,4
34,26380,사하구,3
35,26410,금정구,5
36,26440,강서구,5
37,26470,연제구,4
38,26500,수영구,4
39,26530,사상구,5
40,26710,기장군,4
41,27110,중구,6
42,27140,동구,7
43,27170,서구,4
44,27200,남구,4
45,27230,북구,5
46,27260,수성구,5
47,27290,달서구,5
48,27710,달성군,11
49,27720,군위군,6
50,28110,중구,3
51,28140,동구,3
52,28177,미추홀구,6
53,28185,연수구,3
54,28200,남동구,5
55,28237,부평구,5
56,28245,계양구,5
57,28260,서구,5
58,28710,강화군,2
59,28720,옹진군,1
60,29110,동구,4
61,29140,서구,4
62,29155,남구,5
63,29170,북구,6
64,29200,광산구,6
65,30110,동구,6
66,30140,중구,4
67,30170,서구,6
68,30200,유성구,6
69,30230,대덕구,5
70,31110,중구,3
71,31140,남구,4
72,31170,동구,2
73,31200,북구,5
74,31710,울주군,8
75,36110,세종특별자치시,4
76,41110,수원시,4
77,41130,성남시,8
78,41150,의정부시,5
79,41170,안양시,8
80,41190,부천시,8
81,41210,광명시,5
82,41220,평택시,6
83,41250,동두천시,3
84,41270,안산시,6
85,41280,고양시,9
86,41290,과천시,5
87,41310,구리시,6
88,41360,남양주시,9
89,41370,오산시,2
90,41390,시흥시,5
91,41410,군포시,3
92,41430,의왕시,7
93,41450,하남시,6
94,41460,용인시,8
95,41480,파주시,4
96,41500,이천시,5
97,41550,안성시,6
98,41570,김포시,6
99,41590,화성시,5
100,41610,광주시,7
101,41630,양주시,8
102,41650,포천시,8
103,41670,여주시,6
104,41800,연천군,5
105,41820,가평군,6
106,41830,양평군,7
107,43110,청주시,9
108,43130,충주시,6
109,43150,제천시,5
110,43720,보은군,5
111,43730,옥천군,5
112,43740,영동군,5
113,43745,증평군,4
114,43750,진천군,5
115,43760,괴산군,7
116,43770,음성군,7
117,43800,단양군,5
118,44130,천안시,7
119,44150,공주시,9
120,44180,보령시,5
121,44200,아산시,5
122,44210,서산시,4
123,44230,논산시,7
124,44250,계룡시,4
125,44270,당진시,3
126,44710,금산군,9
127,44760,부여군,6
128,44770,서천군,4
129,44790,청양군,5
130,44800,홍성군,4
131,44810,예산군,6
132,44825,태안군,2
133,46110,목포시,2
134,46130,여수시,2
135,46150,순천시,6
136,46170,나주시,6
137,46230,광양시,4
138,46710,담양군,5
139,46720,곡성군,6
140,46730,구례군,5
141,46770,고흥군,1
142,46780,보성군,4
143,46790,화순군,10
144,46800,장흥군,4
145,46810,강진군,3
146,46820,해남군,4
147,46830,영암군,7
148,46840,무안군,5
149,46860,함평군,5
150,46870,영광군,3
151,46880,장성군,8
152,46890,완도군,1
153,46900,진도군,1
154,46910,신안군,1
155,47110,포항시,4
156,47130,경주시,5
157,47150,김천시,7
158,47170,안동시,6
159,47190,구미시,5
160,47210,영주시,5
161,47230,영천시,7
162,47250,상주시,9
163,47280,문경시,6
164,47290,경산시,5
165,47730,의성군,6
166,47750,청송군,7
167,47760,영양군,5
168,47770,영덕군,4
169,47820,청도군,7
170,47830,고령군,5
171,47840,성주군,6
172,47850,칠곡군,7
173,47900,예천군,6
174,47920,봉화군,7
175,47930,울진군,5
176,47940,울릉군,1
177,48110,창원시,7
178,48170,진주시,7
179,48220,통영시,2
180,48240,사천시,4
181,48250,김해시,5
182,48270,밀양시,6
183,48310,거제시,1
184,48330,양산시,6
185,48720,의령군,5
186,48730,함안군,4
187,48740,창녕군,8
188,48820,고성군,4
189,48840,남해군,1
190,48850,하동군,7
191,48860,산청군,6
192,48870,함양군,5
193,48880,거창군,7
194,48890,합천군,6
195,50110,제주시,1
196,50130,서귀포시,1
197,51110,춘천시,5
198,51130,원주시,6
199,51150,강릉시,5
200,51170,동해시,3
201,51190,태백시,4
202,51210,속초시,3
203,51230,삼척시,5
204,51720,홍천군,8
205,51730,횡성군,5
206,51750,영월군,9
207,51760,평창군,5
208,51770,정선군,6
209,51780,철원군,3
210,51790,화천군,5
211,51800,양구군,3
212,51810,인제군,6
213,51820,고성군,2
214,51830,양양군,4
215,52110,전주시,3
216,52130,군산시,3
217,52140,익산시,7
218,52180,정읍시,7
219,52190,남원시,7
220,52210,김제시,6
221,52710,완주군,8
222,52720,진안군,5
223,52730,무주군,6
224,52740,장수군,6
225,52750,임실군,6
226,52770,순창군,6
227,52790,고창군,4
228,52800,부안군,3
