year,hhi,top10pct_pr,top20_instr,freeman,sd_pr,kendall,kendall_top20,jaccard
2008,0.007291124509730348,28.425866707957386,29.436811849642535,0.0005938797840880899,0.003581330906839131,0.9999999999999998,1.0,1.0
2009,0.007328713851905161,28.530263365030045,29.559874274720205,0.0005944729859272191,0.003604274767569149,0.9349574810388416,0.6000000000000001,0.7391304347826086
2010,0.00717415097937521,27.53712518304835,28.516856378342183,0.0005961678483247307,0.0035089726793575858,0.9164176817589825,0.4631578947368421,0.6666666666666666
2011,0.007052294944282783,27.181652311304134,28.09380892873779,0.0006126927567004695,0.003431972169207222,0.8987972113690338,0.5894736842105264,0.7391304347826086
2012,0.007142305109376818,27.511860418250638,28.59739093824021,0.0006251499953221801,0.0034890133843343105,0.899869761740596,0.5157894736842106,0.6
2013,0.007122403929871985,27.383220992671696,28.57199152859539,0.0006313362430730979,0.003476482204908109,0.8829387880180801,0.45263157894736844,0.6
2014,0.007061282955411423,27.201572131665085,28.19930259536263,0.0006124385273408426,0.003437710585790248,0.8801808013483489,0.4842105263157895,0.6
2015,0.007072594205854569,27.389581161446774,28.597794138088776,0.0006027778116750262,0.003444918695588038,0.8635562705891365,0.5473684210526316,0.6666666666666666
2016,0.007105937153794455,27.41205451552827,28.548112591736473,0.0006215060411675301,0.0034660793151554295,0.8568145253964605,0.631578947368421,0.6
2017,0.007179351526913092,27.69491120181088,28.466912285165947,0.0006319294449122269,0.0035122213317932784,0.843024592047805,0.631578947368421,0.6
2018,0.007564550438481927,29.221438468763587,30.235560869355062,0.0006425223348966748,0.0037450190378545975,0.8411859342679843,0.5368421052631579,0.48148148148148145
2019,0.007568354025140554,28.92156404384335,29.751534482897885,0.000654471114799132,0.0037472456540129494,0.8365892898184325,0.5789473684210527,0.5384615384615384
2020,0.007431666429761951,28.68191928193199,29.42223624178066,0.0006524372799221182,0.00366638009407704,0.8411093235271585,0.5578947368421052,0.5384615384615384
2021,0.007321699437086697,28.222538025230904,29.143856560779945,0.0006580303258339068,0.003600004392061442,0.8422584846395463,0.5789473684210527,0.5384615384615384
2022,0.007249692349284867,28.193965814650696,29.191333351862298,0.0007300619777281526,0.003555869944518124,0.8478510687198345,0.5263157894736842,0.5384615384615384
2023,0.0074108868576675075,28.59162306774069,30.04008400557499,0.0007502308402585417,0.0036539300102965745,0.8428713705661532,0.5789473684210527,0.5384615384615384
2024,0.007332985117125058,28.028459578503263,29.315109604047585,0.0007669252348740316,0.003606872636997479,0.8479276794606603,0.5157894736842106,0.48148148148148145
2025,0.007225673130045784,27.96156299366687,29.50191751205474,0.0007120116931946534,0.0035410257849279128,0.8351336857427409,0.5263157894736842,0.42857142857142855
