year,n,E,density,reciprocity,apl,clustering,Q,ncomm,sizes
2008,229,48723,0.9331762813000001,0.9643494859,1.0335555045,0.9707491943000001,0.4256256572,9,43;42;31;31;27;20;17;16;2
2009,229,48723,0.9331762813000001,0.9636106151,1.0328660078,0.9713573869000001,0.4251610816,8,42;39;39;31;31;19;16;12
2010,229,48717,0.9330613652,0.9639756143,1.0333256723,0.9707236568000001,0.4204532032,9,42;39;39;31;31;17;16;12;2
2011,229,48612,0.9310503333000001,0.9622315478000001,1.0337853367,0.9704654011,0.41841510540000004,9,42;39;31;31;31;20;17;16;2
2012,229,48538,0.9296330346,0.9605257736,1.0336704206,0.9705737371000001,0.4103373232,9,42;39;39;31;31;17;16;12;2
2013,229,48502,0.9289435379000001,0.9618572430000001,1.0356239945,0.9690074336000001,0.4157235676,9,41;39;39;32;31;17;16;12;2
2014,229,48627,0.9313376235,0.9619758570000001,1.0332490615,0.9708670699,0.4211986596,8,42;39;39;35;31;29;12;2
2015,229,48675,0.9322569524000001,0.9620544427000001,1.032368038,0.9716947759000001,0.4225970531,9,42;39;39;31;29;19;16;12;2
2016,229,48564,0.9301310044000001,0.9602174450000001,1.0328660078,0.9714573697000001,0.4142208557,9,42;39;39;31;29;19;16;12;2
2017,229,48507,0.9290393013,0.9604386996000001,1.0342066958,0.9698683524,0.41466070190000004,9,44;41;32;31;26;22;19;12;2
2018,229,48441,0.9277752241,0.9603847980000001,1.035470773,0.968939462,0.416544244,9,42;39;33;31;29;19;19;15;2
2019,229,48370,0.9264153834000001,0.9588174488000001,1.0354324676,0.9691660952000001,0.4168792458,9,42;39;39;31;31;17;15;13;2
2020,229,48385,0.9267026737,0.9595535807000001,1.0358155213,0.9688380911000001,0.4176950713,9,41;39;32;31;31;22;19;12;2
2021,229,48342,0.9258791083000001,0.9584212486,1.0356239945,0.9690628132,0.4095183087,8,41;39;39;31;30;21;15;13
2022,229,47920,0.9177966751000001,0.9553839733,1.0412548839,0.9647655717,0.40218159800000003,9,41;39;39;31;30;19;16;12;2
2023,229,47785,0.9152110626000001,0.9537302501,1.0424423504,0.9636228504000001,0.4042157564,9,41;39;39;31;30;19;15;13;2
2024,229,47687,0.9133340994,0.9546836664,1.0452769478,0.9615921020000001,0.4075078096,9,41;39;39;31;30;19;16;12;2
2025,229,48011,0.9195395694,0.9537814251000001,1.0379606221,0.9672226475000001,0.4002395677,8,42;39;39;31;31;19;16;12
